antenna_id,antenna_name,device_class,gain_dbi,pattern_type,hbeamwidth_deg,vbeamwidth_deg,height_range_m,polarization
AM-0001,AS-2259/GR,HF,2,NVIS,,,,C
AM-0002,DXE-NVIS-8040,HF,2,NVIS,,,,H
AM-0003,DXE-NVIS-8040S,HF,2,NVIS,,,,H
AM-0004,DIPL-A0056,HF,2,NVIS,,,,H
AM-0005,RF-1941,HF,6,NVIS,,,,H
AM-0006,RF-1940,HF,6,NVIS,,,,H
AM-0007,RF-1936,HF,2,NVIS,,,4.6,C
AM-0008,AH-740,HF,-2,OMNI,360,,1.909,V
AM-0009,AH-5NV,HF,2,NVIS,,,,V
AM-0010,AH-760,HF,-2,OMNI,360,,2.475,V
AM-0011,OE-505,HF,-2,OMNI,360,,3.05,V
AM-0012,Barrett 912 Broadband Dipole,HF,2,NVIS,,,15,H
AM-0013,Barrett 4017 Automatic Tuning Horizontal Dipole,HF,2,NVIS,,,6;10,H
AM-0014,Barrett 2019 Automatic Tuning Mobile HF Antenna,HF,-2,OMNI,360,,,V
AM-0015,Barrett 2018 Mobile Magnetic Loop HF Antenna,HF,10,NVIS,,,,V
AM-0016,Barrett 2019 NVIS Kit BCA201910,HF,2,NVIS,,,,V
AM-0017,Codan 9390 Tuned Dipole Base Antenna,HF,2,NVIS,,,5;10,H
AM-0018,Codan 3048 Tuned Dipole Base Antenna,HF,2,NVIS,,,,H
AM-0019,NAR6594,VUHF,0,OMNI,360,,0.200,V
AM-0020,PMAT4001,VUHF,0,OMNI,360,,0.218,V
AM-0021,PMAS4001,VUHF,0,OMNI,360,,0.197,V
AM-0022,KT000026A01,VUHF,0,OMNI,360,,0.200,V
AM-0023,NAF5085,VUHF,0,OMNI,360,,0.203,V
AM-0024,PMAE4065,VUHF,0,OMNI,360,,0.142,V
AM-0025,NAR6593,VUHF,0,OMNI,360,,0.200,V
AM-0026,PMAF4008,VUHF,0,OMNI,360,,0.180,V
AM-0027,PMAF4003,VUHF,0,OMNI,360,,0.180,V
AM-0028,NAR6595,VUHF,0,OMNI,360,,0.098,V
AM-0029,FAF5259,VUHF,0,OMNI,360,,0.093,V
AM-0030,FAF5260,VUHF,0,OMNI,360,,0.093,V
AM-0031,PMAF4006,VUHF,0,OMNI,360,,0.410,V
AM-0032,PMAE4080,VUHF,0,OMNI,360,,0.770,V
AM-0033,PMAD4067,VUHF,0,OMNI,360,,0.160,V
AM-0034,PMAD4068,VUHF,0,OMNI,360,,0.160,V
AM-0035,PMAD4069,VUHF,0,OMNI,360,,0.160,V
AM-0036,PMAD4116,VUHF,0,OMNI,360,,0.150,V
AM-0037,PMAD4117,VUHF,0,OMNI,360,,0.150,V
AM-0038,PMAD4118,VUHF,0,OMNI,360,,0.150,V
AM-0039,PMAD4119,VUHF,0,OMNI,360,,0.090,V
AM-0040,PMAD4120,VUHF,0,OMNI,360,,0.090,V
AM-0041,PMAD4121,VUHF,0,OMNI,360,,0.090,V
AM-0042,PMAD4147,VUHF,0,OMNI,360,,,V
AM-0043,NAD6502_R,VUHF,0,OMNI,360,,,V
AM-0044,PMAD4088,VUHF,0,OMNI,360,,0.083,V
AM-0045,PMAD4093,VUHF,0,OMNI,360,,0.110,V
AM-0046,PMAD4094,VUHF,0,OMNI,360,,0.110,V
AM-0047,PMAD4095,VUHF,0,OMNI,360,,0.110,V
AM-0048,PMAE4079,VUHF,0,OMNI,360,,0.150,V
AM-0049,PMAE4069,VUHF,0,OMNI,360,,0.110,V
AM-0050,PMAE4070,VUHF,0,OMNI,360,,0.110,V
AM-0051,PMAE4071,VUHF,0,OMNI,360,,0.110,V
AM-0052,PMAE4018,VUHF,0,OMNI,360,,0.140,V
AM-0053,PMAE4024,VUHF,0,OMNI,360,,0.140,V
AM-0054,PMAE4050,VUHF,0,OMNI,360,,0.140,V
AM-0055,PMAE4051,VUHF,0,OMNI,360,,0.140,V
AM-0056,NAE6483_R,VUHF,0,OMNI,360,,,V
AM-0057,PMAE4022,VUHF,0,OMNI,360,,0.160,V
AM-0058,PMAE4100,VUHF,0,OMNI,360,,0.090,V
AM-0059,PMAE4049,VUHF,0,OMNI,360,,0.160,V
AM-0060,AN0141H07,VUHF,0,OMNI,360,,,V
AM-0061,AN0153H08,VUHF,0,OMNI,360,,,V
AM-0062,AN0153H09,VUHF,0,OMNI,360,,,V
AM-0063,AN0153H12,VUHF,0,OMNI,360,,,V
AM-0064,AN0155H02,VUHF,0,OMNI,360,,,V
AM-0065,AN0155H08,VUHF,0,OMNI,360,,,V
AM-0066,AN0160H13,VUHF,0,OMNI,360,,,V
AM-0067,AN0160H18,VUHF,0,OMNI,360,,,V
AM-0068,AN0167H03,VUHF,0,OMNI,360,,,V
AM-0069,AN0375H02,VUHF,0,OMNI,360,,,V
AM-0070,AN0375H14,VUHF,0,OMNI,360,,,V
AM-0071,AN0435H15,VUHF,0,OMNI,360,,,V
AM-0072,AN0485H15,VUHF,0,OMNI,360,,,V
AM-0073,ANTENNA 3 Icom UHF 450-470,VUHF,5,OMNI,360,,,V
AM-0074,ANTENNA 1 Icom Unity Antenna,VUHF,0,OMNI,360,,,V
AM-0075,K510352 VHF Antenna,VUHF,6,OMNI,360,,,V
AM-0076,GB 160 LB VHF Antenna,VUHF,2.15,OMNI,360,,,V
AM-0077,K751121 UHF Antenna,VUHF,2,OMNI,360,,,V
AM-0078,TRAM Browning NMO UHF,VUHF,2,OMNI,360,,,V
