freq_id,device_class,center_freq_khz,bandwidth_khz,channel_no,is_available,occupied_by,reuse_min_distance_m,adjacent_guard_khz,note
FQ-0001,HF,3000,3,1,false,,60000,3,禁用-预留应急频点
FQ-0002,HF,3195,3,2,true,,60000,3,
FQ-0003,HF,3390,3,3,true,,60000,3,
FQ-0004,HF,3585,3,4,true,,60000,3,
FQ-0005,HF,3780,3,5,true,,60000,3,
FQ-0006,HF,3975,3,6,true,,60000,3,
FQ-0007,HF,4170,3,7,true,,60000,3,
FQ-0008,HF,4365,3,8,true,,60000,3,
FQ-0009,HF,4560,3,9,true,,60000,3,
FQ-0010,HF,4755,3,10,true,,60000,3,
FQ-0011,HF,4950,3,11,true,,60000,3,
FQ-0012,HF,5145,3,12,false,,60000,3,禁用-预留应急频点
FQ-0013,HF,5340,3,13,true,,60000,3,
FQ-0014,HF,5535,3,14,true,,60000,3,
FQ-0015,HF,5730,3,15,true,,60000,3,
FQ-0016,HF,5925,3,16,true,,60000,3,
FQ-0017,HF,6120,3,17,true,,60000,3,
FQ-0018,HF,6315,3,18,true,,60000,3,
FQ-0019,HF,6510,3,19,true,,60000,3,
FQ-0020,HF,6705,3,20,true,,60000,3,
FQ-0021,HF,6900,3,21,true,,60000,3,
FQ-0022,HF,7095,3,22,true,,60000,3,
FQ-0023,HF,7290,3,23,false,,60000,3,禁用-预留应急频点
FQ-0024,HF,7485,3,24,true,,60000,3,
FQ-0025,HF,7680,3,25,true,,60000,3,
FQ-0026,HF,7875,3,26,true,,60000,3,
FQ-0027,HF,8070,3,27,true,,60000,3,
FQ-0028,HF,8265,3,28,true,,60000,3,
FQ-0029,HF,8460,3,29,true,,60000,3,
FQ-0030,HF,8655,3,30,true,,60000,3,
FQ-0031,HF,8850,3,31,true,,60000,3,
FQ-0032,HF,9045,3,32,true,,60000,3,
FQ-0033,HF,9240,3,33,true,,60000,3,
FQ-0034,HF,9435,3,34,false,,60000,3,禁用-预留应急频点
FQ-0035,HF,9630,3,35,true,,60000,3,
FQ-0036,HF,9825,3,36,true,,60000,3,
FQ-0037,HF,10020,3,37,true,,60000,3,
FQ-0038,HF,10215,3,38,true,,60000,3,
FQ-0039,HF,10410,3,39,true,,60000,3,
FQ-0040,HF,10605,3,40,true,,60000,3,
FQ-0041,HF,10800,3,41,true,,60000,3,
FQ-0042,HF,10995,3,42,true,,60000,3,
FQ-0043,HF,11190,3,43,true,,60000,3,
FQ-0044,HF,11385,3,44,true,,60000,3,
FQ-0045,HF,11580,3,45,false,,60000,3,禁用-预留应急频点
FQ-0046,HF,11775,3,46,true,,60000,3,
FQ-0047,VUHF,30125,25,1,false,,25000,25,禁用-邻区占用
FQ-0048,VUHF,31325,25,2,true,,25000,25,
FQ-0049,VUHF,32525,25,3,true,,25000,25,
FQ-0050,VUHF,33725,25,4,true,,25000,25,
FQ-0051,VUHF,34925,25,5,true,,25000,25,
FQ-0052,VUHF,36125,25,6,true,,25000,25,
FQ-0053,VUHF,37325,25,7,true,,25000,25,
FQ-0054,VUHF,38525,25,8,true,,25000,25,
FQ-0055,VUHF,39725,25,9,true,,25000,25,
FQ-0056,VUHF,40925,25,10,true,,25000,25,
FQ-0057,VUHF,42125,25,11,true,,25000,25,
FQ-0058,VUHF,43325,25,12,true,,25000,25,
FQ-0059,VUHF,44525,25,13,true,,25000,25,
FQ-0060,VUHF,45725,25,14,false,,25000,25,禁用-邻区占用
FQ-0061,VUHF,46925,25,15,true,,25000,25,
FQ-0062,VUHF,48125,25,16,true,,25000,25,
FQ-0063,VUHF,49325,25,17,true,,25000,25,
FQ-0064,VUHF,50525,25,18,true,,25000,25,
FQ-0065,VUHF,51725,25,19,true,,25000,25,
FQ-0066,VUHF,52925,25,20,true,,25000,25,
FQ-0067,VUHF,54125,25,21,true,,25000,25,
FQ-0068,VUHF,55325,25,22,true,,25000,25,
FQ-0069,VUHF,56525,25,23,true,,25000,25,
FQ-0070,VUHF,57725,25,24,true,,25000,25,
FQ-0071,VUHF,58925,25,25,true,,25000,25,
FQ-0072,VUHF,60125,25,26,true,,25000,25,
FQ-0073,VUHF,61325,25,27,false,,25000,25,禁用-邻区占用
FQ-0074,VUHF,62525,25,28,true,,25000,25,
FQ-0075,VUHF,63725,25,29,true,,25000,25,
FQ-0076,VUHF,64925,25,30,true,,25000,25,
FQ-0077,VUHF,66125,25,31,true,,25000,25,
FQ-0078,VUHF,67325,25,32,true,,25000,25,
FQ-0079,VUHF,68525,25,33,true,,25000,25,
FQ-0080,VUHF,69725,25,34,true,,25000,25,
FQ-0081,VUHF,70925,25,35,true,,25000,25,
FQ-0082,VUHF,72125,25,36,true,,25000,25,
FQ-0083,VUHF,73325,25,37,true,,25000,25,
FQ-0084,VUHF,74525,25,38,true,,25000,25,
FQ-0085,VUHF,75725,25,39,true,,25000,25,
FQ-0086,VUHF,76925,25,40,false,,25000,25,禁用-邻区占用
FQ-0087,VUHF,78125,25,41,true,,25000,25,
FQ-0088,VUHF,79325,25,42,true,,25000,25,
FQ-0089,VUHF,80525,25,43,true,,25000,25,
FQ-0090,VUHF,81725,25,44,true,,25000,25,
FQ-0091,VUHF,82925,25,45,true,,25000,25,
FQ-0092,VUHF,84125,25,46,true,,25000,25,
FQ-0093,VUHF,85325,25,47,true,,25000,25,
FQ-0094,VUHF,86525,25,48,true,,25000,25,
