interference_id,name,lon,lat,elevation_m,antenna_height_m,center_freq_khz,bandwidth_khz,tx_power_dbm,antenna_gain_dbi,interference_type,pattern_type,azimuth_deg,duty_cycle,active
IF-0001,干扰源01,114.584121,37.770587,56.0,33.8,32196.9,1000,57.6,6.7,PULSE,OMNI,154.9,0.6,true
IF-0002,干扰源02,114.141703,37.398638,1097.0,19.6,6999.8,3,52.6,8.7,BROADBAND,OMNI,310.5,0.1,true
IF-0003,干扰源03,114.722184,37.589989,40.0,36.0,62689.0,3,37.6,4.0,SWEEP,OMNI,80.7,0.3,true
IF-0004,干扰源04,115.242499,37.750776,31.0,24.3,7889.2,6,51.8,9.2,BROADBAND,OMNI,293.6,0.3,true
IF-0005,干扰源05,114.141834,37.350271,773.0,33.4,70032.3,200,49.4,6.5,SWEEP,DIRECTIONAL,132.0,0.1,true
IF-0006,干扰源06,115.317184,37.521762,24.0,22.7,3947.9,200,56.7,1.9,BROADBAND,OMNI,304.2,0.1,true
IF-0007,干扰源07,115.012578,37.383142,27.0,14.3,84176.9,3,48.5,0.6,NARROWBAND,DIRECTIONAL,83.3,0.3,true
IF-0008,干扰源08,114.918246,37.352712,27.0,32.5,10899.0,200,43.5,7.0,SWEEP,OMNI,156.1,1.0,true
IF-0009,干扰源09,115.165895,37.274372,30.0,26.3,61153.2,200,49.7,0.1,BROADBAND,DIRECTIONAL,209.3,0.1,true
IF-0010,干扰源10,114.827558,36.991082,37.0,37.6,5114.2,200,50.4,4.5,NARROWBAND,OMNI,353.8,0.3,true
IF-0011,干扰源11,114.746381,37.382704,33.0,9.2,48943.2,3,37.7,3.5,NARROWBAND,DIRECTIONAL,201.5,0.6,true
IF-0012,干扰源12,114.942626,37.388802,31.0,25.8,5338.7,3,50.2,11.8,PULSE,OMNI,10.6,0.6,true
IF-0013,干扰源13,114.612475,37.318,54.0,19.0,86021.8,3,40.4,2.8,NOISE,DIRECTIONAL,179.3,0.1,false
IF-0014,干扰源14,114.820189,37.557258,36.0,33.5,7199.7,3,54.9,5.0,NOISE,OMNI,295.8,0.1,false
IF-0015,干扰源15,115.034059,37.418906,27.0,25.2,73749.3,6,52.7,7.3,SWEEP,OMNI,353.8,0.6,false
IF-0016,干扰源16,114.300691,37.370911,213.0,23.3,8904.2,25,58.2,11.6,NOISE,DIRECTIONAL,131.1,0.6,false
