record_id,link_id,timestamp,snr_db,ber,packet_loss_rate,delay_ms,throughput_kbps,link_state
LM-000001,LK-0001,2026-09-08T08:03:00+08:00,116.75,1.00e-09,0.0,30.5,64.0,EXCELLENT
LM-000002,LK-0001,2026-09-08T08:30:00+08:00,110.72,1.00e-09,0.0,41.3,64.0,EXCELLENT
LM-000003,LK-0001,2026-09-08T09:10:00+08:00,114.98,1.00e-09,0.0,40.7,64.0,EXCELLENT
LM-000004,LK-0001,2026-09-08T09:36:00+08:00,110.17,1.00e-09,0.0,39.9,64.0,EXCELLENT
LM-000005,LK-0001,2026-09-08T10:07:00+08:00,107.79,1.00e-09,0.0,30.5,64.0,EXCELLENT
LM-000006,LK-0002,2026-09-08T08:09:00+08:00,99.58,1.00e-09,0.0,35.9,64.0,EXCELLENT
LM-000007,LK-0002,2026-09-08T08:34:00+08:00,103.52,1.00e-09,0.0,40.7,64.0,EXCELLENT
LM-000008,LK-0002,2026-09-08T09:03:00+08:00,96.28,1.00e-09,0.0,31.3,64.0,EXCELLENT
LM-000009,LK-0002,2026-09-08T09:38:00+08:00,95.21,1.00e-09,0.0,38.3,64.0,EXCELLENT
LM-000010,LK-0002,2026-09-08T10:06:00+08:00,101.25,1.00e-09,0.0,32.2,64.0,EXCELLENT
LM-000011,LK-0003,2026-09-08T08:06:00+08:00,98.22,1.00e-09,0.0,37.4,64.0,EXCELLENT
LM-000012,LK-0003,2026-09-08T08:38:00+08:00,100.88,1.00e-09,0.0,37.2,64.0,EXCELLENT
LM-000013,LK-0003,2026-09-08T09:10:00+08:00,99.74,1.00e-09,0.0,32.2,64.0,EXCELLENT
LM-000014,LK-0003,2026-09-08T09:42:00+08:00,97.68,1.00e-09,0.0,39.7,64.0,EXCELLENT
LM-000015,LK-0003,2026-09-08T10:03:00+08:00,94.6,1.00e-09,0.0,35.3,64.0,EXCELLENT
LM-000016,LK-0004,2026-09-08T08:09:00+08:00,100.92,1.00e-09,0.0,29.2,64.0,EXCELLENT
LM-000017,LK-0004,2026-09-08T08:39:00+08:00,93.91,1.00e-09,0.0,40.1,64.0,EXCELLENT
LM-000018,LK-0004,2026-09-08T09:08:00+08:00,99.36,1.00e-09,0.0,38.3,64.0,EXCELLENT
LM-000019,LK-0004,2026-09-08T09:42:00+08:00,97.55,1.00e-09,0.0,41.0,64.0,EXCELLENT
LM-000020,LK-0004,2026-09-08T10:01:00+08:00,101.39,1.00e-09,0.0,38.9,64.0,EXCELLENT
LM-000021,LK-0005,2026-09-08T08:03:00+08:00,111.24,1.00e-09,0.0,31.1,64.0,EXCELLENT
LM-000022,LK-0005,2026-09-08T08:36:00+08:00,110.94,1.00e-09,0.0,29.3,64.0,EXCELLENT
LM-000023,LK-0005,2026-09-08T09:02:00+08:00,114.11,1.00e-09,0.0,29.1,64.0,EXCELLENT
LM-000024,LK-0005,2026-09-08T09:36:00+08:00,106.57,1.00e-09,0.0,30.6,64.0,EXCELLENT
LM-000025,LK-0005,2026-09-08T10:00:00+08:00,104.12,1.00e-09,0.0,30.7,64.0,EXCELLENT
LM-000026,LK-0006,2026-09-08T08:04:00+08:00,82.43,1.00e-09,0.0,29.8,64.0,EXCELLENT
LM-000027,LK-0006,2026-09-08T08:39:00+08:00,85.84,1.00e-09,0.0,33.6,64.0,EXCELLENT
LM-000028,LK-0006,2026-09-08T09:06:00+08:00,88.48,1.00e-09,0.0,30.0,64.0,EXCELLENT
LM-000029,LK-0006,2026-09-08T09:40:00+08:00,86.35,1.00e-09,0.0,32.8,64.0,EXCELLENT
LM-000030,LK-0006,2026-09-08T10:06:00+08:00,90.27,1.00e-09,0.0,31.4,64.0,EXCELLENT
LM-000031,LK-0007,2026-09-08T08:07:00+08:00,81.0,1.00e-09,0.0,42.2,64.0,EXCELLENT
LM-000032,LK-0007,2026-09-08T08:36:00+08:00,87.88,1.00e-09,0.0,37.5,64.0,EXCELLENT
LM-000033,LK-0007,2026-09-08T09:12:00+08:00,83.51,1.00e-09,0.0,28.9,64.0,EXCELLENT
LM-000034,LK-0007,2026-09-08T09:41:00+08:00,87.59,1.00e-09,0.0,35.7,64.0,EXCELLENT
LM-000035,LK-0007,2026-09-08T10:11:00+08:00,87.2,1.00e-09,0.0,38.7,64.0,EXCELLENT
LM-000036,LK-0008,2026-09-08T08:01:00+08:00,99.56,1.00e-09,0.0,35.9,64.0,EXCELLENT
LM-000037,LK-0008,2026-09-08T08:32:00+08:00,99.09,1.00e-09,0.0,33.2,64.0,EXCELLENT
LM-000038,LK-0008,2026-09-08T09:01:00+08:00,103.72,1.00e-09,0.0,28.9,64.0,EXCELLENT
LM-000039,LK-0008,2026-09-08T09:31:00+08:00,98.63,1.00e-09,0.0,37.3,64.0,EXCELLENT
LM-000040,LK-0008,2026-09-08T10:00:00+08:00,101.87,1.00e-09,0.0,34.0,64.0,EXCELLENT
LM-000041,LK-0009,2026-09-08T08:09:00+08:00,85.88,1.00e-09,0.0,35.2,64.0,EXCELLENT
LM-000042,LK-0009,2026-09-08T08:39:00+08:00,86.22,1.00e-09,0.0,41.0,64.0,EXCELLENT
LM-000043,LK-0009,2026-09-08T09:09:00+08:00,86.43,1.00e-09,0.0,28.9,64.0,EXCELLENT
LM-000044,LK-0009,2026-09-08T09:34:00+08:00,85.04,1.00e-09,0.0,29.8,64.0,EXCELLENT
LM-000045,LK-0009,2026-09-08T10:11:00+08:00,78.86,1.00e-09,0.0,37.2,64.0,EXCELLENT
LM-000046,LK-0010,2026-09-08T08:04:00+08:00,91.21,1.00e-09,0.0,32.8,64.0,EXCELLENT
LM-000047,LK-0010,2026-09-08T08:38:00+08:00,90.65,1.00e-09,0.0,31.5,64.0,EXCELLENT
LM-000048,LK-0010,2026-09-08T09:07:00+08:00,92.42,1.00e-09,0.0,36.9,64.0,EXCELLENT
LM-000049,LK-0010,2026-09-08T09:38:00+08:00,92.62,1.00e-09,0.0,35.3,64.0,EXCELLENT
LM-000050,LK-0010,2026-09-08T10:11:00+08:00,96.21,1.00e-09,0.0,34.6,64.0,EXCELLENT
LM-000051,LK-0011,2026-09-08T08:08:00+08:00,93.82,1.00e-09,0.0,32.6,64.0,EXCELLENT
LM-000052,LK-0011,2026-09-08T08:34:00+08:00,92.79,1.00e-09,0.0,36.8,64.0,EXCELLENT
LM-000053,LK-0011,2026-09-08T09:05:00+08:00,93.62,1.00e-09,0.0,31.3,64.0,EXCELLENT
LM-000054,LK-0011,2026-09-08T09:38:00+08:00,94.99,1.00e-09,0.0,41.8,64.0,EXCELLENT
LM-000055,LK-0011,2026-09-08T10:04:00+08:00,94.94,1.00e-09,0.0,39.4,64.0,EXCELLENT
LM-000056,LK-0012,2026-09-08T08:04:00+08:00,83.24,1.00e-09,0.0,29.8,64.0,EXCELLENT
LM-000057,LK-0012,2026-09-08T08:37:00+08:00,87.39,1.00e-09,0.0,40.7,64.0,EXCELLENT
LM-000058,LK-0012,2026-09-08T09:08:00+08:00,85.52,1.00e-09,0.0,33.3,64.0,EXCELLENT
LM-000059,LK-0012,2026-09-08T09:32:00+08:00,82.07,1.00e-09,0.0,42.5,64.0,EXCELLENT
LM-000060,LK-0012,2026-09-08T10:02:00+08:00,83.83,1.00e-09,0.0,39.5,64.0,EXCELLENT
LM-000061,LK-0013,2026-09-08T08:04:00+08:00,93.66,1.00e-09,0.0,38.1,64.0,EXCELLENT
LM-000062,LK-0013,2026-09-08T08:30:00+08:00,92.56,1.00e-09,0.0,42.5,64.0,EXCELLENT
LM-000063,LK-0013,2026-09-08T09:00:00+08:00,94.59,1.00e-09,0.0,33.2,64.0,EXCELLENT
LM-000064,LK-0013,2026-09-08T09:34:00+08:00,90.99,1.00e-09,0.0,33.8,64.0,EXCELLENT
LM-000065,LK-0013,2026-09-08T10:09:00+08:00,97.9,1.00e-09,0.0,29.1,64.0,EXCELLENT
LM-000066,LK-0014,2026-09-08T08:10:00+08:00,99.37,1.00e-09,0.0,31.5,64.0,EXCELLENT
LM-000067,LK-0014,2026-09-08T08:30:00+08:00,100.55,1.00e-09,0.0,30.8,64.0,EXCELLENT
LM-000068,LK-0014,2026-09-08T09:01:00+08:00,97.15,1.00e-09,0.0,32.7,64.0,EXCELLENT
LM-000069,LK-0014,2026-09-08T09:42:00+08:00,98.01,1.00e-09,0.0,40.0,64.0,EXCELLENT
LM-000070,LK-0014,2026-09-08T10:02:00+08:00,99.76,1.00e-09,0.0,33.8,64.0,EXCELLENT
LM-000071,LK-0015,2026-09-08T08:04:00+08:00,89.33,1.00e-09,0.0,34.6,64.0,EXCELLENT
LM-000072,LK-0015,2026-09-08T08:36:00+08:00,90.43,1.00e-09,0.0,31.8,64.0,EXCELLENT
LM-000073,LK-0015,2026-09-08T09:00:00+08:00,94.13,1.00e-09,0.0,30.2,64.0,EXCELLENT
LM-000074,LK-0015,2026-09-08T09:42:00+08:00,94.31,1.00e-09,0.0,40.2,64.0,EXCELLENT
LM-000075,LK-0015,2026-09-08T10:07:00+08:00,91.76,1.00e-09,0.0,40.7,64.0,EXCELLENT
LM-000076,LK-0016,2026-09-08T08:12:00+08:00,94.44,1.00e-09,0.0,36.9,64.0,EXCELLENT
LM-000077,LK-0016,2026-09-08T08:30:00+08:00,93.06,1.00e-09,0.0,37.9,64.0,EXCELLENT
LM-000078,LK-0016,2026-09-08T09:00:00+08:00,94.77,1.00e-09,0.0,37.1,64.0,EXCELLENT
LM-000079,LK-0016,2026-09-08T09:38:00+08:00,91.63,1.00e-09,0.0,40.8,64.0,EXCELLENT
LM-000080,LK-0016,2026-09-08T10:05:00+08:00,97.56,1.00e-09,0.0,32.9,64.0,EXCELLENT
LM-000081,LK-0017,2026-09-08T08:04:00+08:00,67.7,1.00e-09,0.0,40.7,64.0,EXCELLENT
LM-000082,LK-0017,2026-09-08T08:30:00+08:00,69.66,1.00e-09,0.0,31.7,64.0,EXCELLENT
LM-000083,LK-0017,2026-09-08T09:08:00+08:00,71.17,1.00e-09,0.0,36.8,64.0,EXCELLENT
LM-000084,LK-0017,2026-09-08T09:35:00+08:00,66.81,1.00e-09,0.0,34.5,64.0,EXCELLENT
LM-000085,LK-0017,2026-09-08T10:05:00+08:00,60.5,1.00e-09,0.0,37.9,64.0,EXCELLENT
LM-000086,LK-0018,2026-09-08T08:11:00+08:00,91.02,1.00e-09,0.0,38.9,64.0,EXCELLENT
LM-000087,LK-0018,2026-09-08T08:38:00+08:00,93.05,1.00e-09,0.0,38.8,64.0,EXCELLENT
LM-000088,LK-0018,2026-09-08T09:10:00+08:00,97.11,1.00e-09,0.0,36.4,64.0,EXCELLENT
LM-000089,LK-0018,2026-09-08T09:35:00+08:00,98.67,1.00e-09,0.0,31.7,64.0,EXCELLENT
LM-000090,LK-0018,2026-09-08T10:09:00+08:00,98.3,1.00e-09,0.0,37.2,64.0,EXCELLENT
LM-000091,LK-0019,2026-09-08T08:02:00+08:00,71.45,1.00e-09,0.0,35.0,4.8,EXCELLENT
LM-000092,LK-0019,2026-09-08T08:42:00+08:00,82.35,1.00e-09,0.0,36.1,4.8,EXCELLENT
LM-000093,LK-0019,2026-09-08T09:08:00+08:00,67.95,1.00e-09,0.0,33.9,4.8,EXCELLENT
LM-000094,LK-0019,2026-09-08T09:31:00+08:00,71.84,1.00e-09,0.0,37.0,4.8,EXCELLENT
LM-000095,LK-0019,2026-09-08T10:02:00+08:00,79.51,1.00e-09,0.0,39.9,4.8,EXCELLENT
LM-000096,LK-0020,2026-09-08T08:08:00+08:00,98.38,1.00e-09,0.0,34.8,4.8,EXCELLENT
LM-000097,LK-0020,2026-09-08T08:37:00+08:00,82.56,1.00e-09,0.0,41.9,4.8,EXCELLENT
LM-000098,LK-0020,2026-09-08T09:12:00+08:00,90.91,1.00e-09,0.0,39.0,4.8,EXCELLENT
LM-000099,LK-0020,2026-09-08T09:33:00+08:00,78.81,1.00e-09,0.0,30.8,4.8,EXCELLENT
LM-000100,LK-0020,2026-09-08T10:06:00+08:00,68.37,1.00e-09,0.0,33.5,4.8,EXCELLENT
LM-000101,LK-0021,2026-09-08T08:03:00+08:00,81.99,1.00e-09,0.0,35.3,64.0,EXCELLENT
LM-000102,LK-0021,2026-09-08T08:37:00+08:00,82.47,1.00e-09,0.0,39.9,64.0,EXCELLENT
LM-000103,LK-0021,2026-09-08T09:12:00+08:00,82.26,1.00e-09,0.0,41.9,64.0,EXCELLENT
LM-000104,LK-0021,2026-09-08T09:39:00+08:00,78.52,1.00e-09,0.0,37.2,64.0,EXCELLENT
LM-000105,LK-0021,2026-09-08T10:00:00+08:00,83.09,1.00e-09,0.0,34.1,64.0,EXCELLENT
LM-000106,LK-0022,2026-09-08T08:08:00+08:00,75.72,1.00e-09,0.0,42.6,64.0,EXCELLENT
LM-000107,LK-0022,2026-09-08T08:40:00+08:00,78.21,1.00e-09,0.0,33.8,64.0,EXCELLENT
LM-000108,LK-0022,2026-09-08T09:05:00+08:00,74.4,1.00e-09,0.0,29.5,64.0,EXCELLENT
LM-000109,LK-0022,2026-09-08T09:32:00+08:00,69.87,1.00e-09,0.0,37.8,64.0,EXCELLENT
LM-000110,LK-0022,2026-09-08T10:05:00+08:00,71.79,1.00e-09,0.0,33.8,64.0,EXCELLENT
LM-000111,LK-0023,2026-09-08T08:04:00+08:00,87.83,1.00e-09,0.0,40.6,64.0,EXCELLENT
LM-000112,LK-0023,2026-09-08T08:35:00+08:00,80.73,1.00e-09,0.0,38.4,64.0,EXCELLENT
LM-000113,LK-0023,2026-09-08T09:03:00+08:00,83.72,1.00e-09,0.0,37.6,64.0,EXCELLENT
LM-000114,LK-0023,2026-09-08T09:39:00+08:00,81.75,1.00e-09,0.0,32.7,64.0,EXCELLENT
LM-000115,LK-0023,2026-09-08T10:07:00+08:00,86.19,1.00e-09,0.0,33.5,64.0,EXCELLENT
