site_id,lon,lat,elevation_m,slope_deg,landcover_type,nearest_road_distance_m,nearest_node_distance_m,candidate_role,is_deployable,recommendation_level,score,reject_reason,source,remark
CS-0001,114.301096,36.942441,210.0,0.71,耕地,0.0,19148.6,MOBILE_STATION,true,A,76.68,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0002,114.3407,36.919983,198.0,1.35,草地,0.0,22791.1,MOBILE_STATION,true,A,76.56,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0003,114.329385,36.99634,186.0,1.01,草地,0.0,21660.1,MOBILE_STATION,true,A,76.55,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0004,114.335042,37.041255,157.0,0.45,耕地,0.0,20600.4,MOBILE_STATION,true,A,76.18,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0005,114.289781,37.988973,405.0,2.56,耕地,353.6,17852.4,RELAY,true,A,75.57,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0006,114.363331,37.005323,142.0,0.71,耕地,0.0,24085.1,MOBILE_STATION,true,A,75.39,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0007,114.329385,36.960407,140.0,0.71,耕地,0.0,21766.7,MOBILE_STATION,true,A,75.32,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0008,114.272808,37.957533,361.0,1.15,耕地,0.0,14627.5,RELAY,true,A,75.27,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0009,114.363331,37.068204,131.0,0.45,耕地,0.0,19916.0,MOBILE_STATION,true,A,75.17,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0010,114.374646,36.928966,130.0,0.64,裸地,0.0,24978.0,MOBILE_STATION,true,A,75.03,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0011,114.255835,36.919983,297.0,1.15,耕地,0.0,15307.1,MOBILE_STATION,true,A,74.49,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0012,114.301096,37.023289,222.0,2.23,耕地,0.0,18209.7,MOBILE_STATION,true,A,74.45,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0013,114.397277,37.05473,110.0,0.45,林地,0.0,21742.9,MOBILE_STATION,true,A,74.45,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0014,114.402935,36.991848,106.0,0.71,耕地,0.0,21967.6,MOBILE_STATION,true,A,74.01,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0015,114.318069,37.081679,167.0,0.9,耕地,0.0,17946.2,MOBILE_STATION,true,A,73.87,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0016,114.419908,37.077188,102.0,0.71,耕地,0.0,20052.8,MOBILE_STATION,true,A,73.84,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0017,114.374646,37.984482,91.0,0.32,耕地,0.0,21105.0,MOBILE_STATION,true,A,73.78,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0018,114.335042,37.975499,127.0,0.0,耕地,250.0,20358.6,MOBILE_STATION,true,A,73.75,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0019,114.278466,36.96939,148.0,0.32,耕地,0.0,17422.0,MOBILE_STATION,true,A,73.28,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0020,114.453854,37.984482,69.0,0.0,耕地,0.0,20097.9,MOBILE_STATION,true,A,73.06,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0021,114.3407,37.912617,429.0,2.93,草地,353.6,15349.8,RELAY,true,A,73.04,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0022,114.3407,37.948549,125.0,1.01,耕地,0.0,18661.0,MOBILE_STATION,true,A,73.04,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0023,114.408593,36.919983,83.0,0.71,林地,0.0,21995.0,MOBILE_STATION,true,A,73.0,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0024,114.436881,36.982865,91.0,0.45,耕地,0.0,19397.1,MOBILE_STATION,true,A,73.0,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
