device_id,node_id,model_id,antenna_id,antenna_height_m,tilt_deg,azimuth_deg,tx_power_dbm,work_freq_khz,status,install_time
DV-0001,ND-0001,DM-0003,AM-0002,16.6,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0002,ND-0001,DM-0003,AM-0002,12.1,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0003,ND-0001,DM-0003,AM-0002,15.3,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0004,ND-0001,DM-0003,AM-0002,17.6,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0005,ND-0001,DM-0003,AM-0002,15.3,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0006,ND-0001,DM-0003,AM-0002,16.7,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0007,ND-0001,DM-0003,AM-0002,11.1,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0008,ND-0001,DM-0003,AM-0002,15.6,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0009,ND-0002,DM-0003,AM-0002,4.6,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0010,ND-0002,DM-0003,AM-0001,5.5,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0011,ND-0002,DM-0003,AM-0001,7.6,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0012,ND-0002,DM-0003,AM-0001,4.0,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0013,ND-0002,DM-0003,AM-0001,5.5,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0014,ND-0002,DM-0003,AM-0001,4.1,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0015,ND-0002,DM-0003,AM-0001,7.2,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0016,ND-0002,DM-0003,AM-0002,6.4,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0017,ND-0002,DM-0003,AM-0001,3.8,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0018,ND-0002,DM-0003,AM-0002,5.1,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0019,ND-0002,DM-0003,AM-0002,4.3,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0020,ND-0002,DM-0003,AM-0002,4.9,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0021,ND-0002,DM-0003,AM-0002,3.6,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0022,ND-0002,DM-0003,AM-0001,5.9,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0023,ND-0002,DM-0003,AM-0002,4.7,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0024,ND-0002,DM-0003,AM-0002,4.2,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0025,ND-0002,DM-0003,AM-0001,3.8,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0026,ND-0002,DM-0003,AM-0001,5.5,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0027,ND-0003,DM-0003,AM-0002,17.4,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0028,ND-0003,DM-0003,AM-0002,12.3,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0029,ND-0003,DM-0003,AM-0002,10.3,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0030,ND-0003,DM-0003,AM-0002,16.2,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0031,ND-0003,DM-0003,AM-0002,15.8,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0032,ND-0003,DM-0003,AM-0002,16.2,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0033,ND-0003,DM-0011,AM-0011,16.6,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0034,ND-0003,DM-0011,AM-0011,14.8,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0035,ND-0003,DM-0011,AM-0011,15.7,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0036,ND-0003,DM-0011,AM-0011,13.3,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0037,ND-0004,DM-0003,AM-0002,13.6,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0038,ND-0004,DM-0003,AM-0002,12.3,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0039,ND-0004,DM-0003,AM-0002,13.2,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0040,ND-0004,DM-0003,AM-0002,15.2,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0041,ND-0004,DM-0003,AM-0002,14.9,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0042,ND-0004,DM-0003,AM-0002,12.2,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0043,ND-0004,DM-0011,AM-0011,16.0,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0044,ND-0004,DM-0011,AM-0011,11.0,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0045,ND-0004,DM-0011,AM-0011,11.8,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0046,ND-0004,DM-0011,AM-0011,12.8,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0047,ND-0005,DM-0003,AM-0002,15.8,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0048,ND-0005,DM-0003,AM-0002,15.0,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0049,ND-0005,DM-0003,AM-0002,12.7,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0050,ND-0005,DM-0003,AM-0002,11.9,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0051,ND-0005,DM-0003,AM-0002,15.9,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0052,ND-0005,DM-0003,AM-0002,17.0,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0053,ND-0005,DM-0011,AM-0011,10.8,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0054,ND-0005,DM-0011,AM-0011,10.3,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0055,ND-0005,DM-0011,AM-0011,16.3,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0056,ND-0005,DM-0011,AM-0011,16.3,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0057,ND-0006,DM-0003,AM-0002,12.7,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0058,ND-0006,DM-0003,AM-0002,15.4,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0059,ND-0006,DM-0003,AM-0002,12.5,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0060,ND-0006,DM-0003,AM-0002,17.8,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0061,ND-0006,DM-0003,AM-0002,10.3,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0062,ND-0006,DM-0003,AM-0002,13.0,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0063,ND-0006,DM-0011,AM-0011,16.8,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0064,ND-0006,DM-0011,AM-0011,10.7,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0065,ND-0006,DM-0011,AM-0011,17.1,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0066,ND-0006,DM-0011,AM-0011,12.3,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0067,ND-0007,DM-0003,AM-0001,4.6,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0068,ND-0007,DM-0011,AM-0011,5.0,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0069,ND-0007,DM-0011,AM-0011,5.1,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0070,ND-0008,DM-0003,AM-0002,4.1,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0071,ND-0008,DM-0011,AM-0011,7.6,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0072,ND-0008,DM-0011,AM-0011,4.2,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0073,ND-0009,DM-0003,AM-0001,3.8,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0074,ND-0009,DM-0011,AM-0011,5.3,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0075,ND-0009,DM-0011,AM-0011,4.4,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0076,ND-0009,DM-0011,AM-0011,5.2,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0077,ND-0009,DM-0011,AM-0011,7.5,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0078,ND-0009,DM-0011,AM-0011,7.4,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0079,ND-0010,DM-0003,AM-0001,7.4,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0080,ND-0010,DM-0011,AM-0011,4.5,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0081,ND-0010,DM-0011,AM-0011,3.7,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0082,ND-0010,DM-0011,AM-0011,4.1,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0083,ND-0010,DM-0011,AM-0011,7.4,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0084,ND-0010,DM-0011,AM-0011,6.7,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0085,ND-0011,DM-0003,AM-0002,4.6,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
