node_id,node_name,echelon,node_subtype,parent_node_id,node_role,mobility,lon,lat,elevation_m,region,device_class,relay_capable,status,is_key,remark
ND-0001,Ⅰ短波固定站01,I,I_FIXED,,FIXED_STATION,FIXED,114.241416,37.357422,524.0,山前过渡区,HF,true,NORMAL,true,
ND-0002,Ⅰ短波机动站01,I,I_MOBILE,ND-0001,TASK,VEHICLE,114.122045,37.462295,923.0,太行山区,HF,true,NORMAL,true,
ND-0003,Ⅱ双频固定站01,II,II_FIXED,ND-0001,FIXED_STATION,FIXED,114.152413,37.489773,1218.0,太行山区,HF;VUHF,true,NORMAL,true,
ND-0004,Ⅱ双频固定站02,II,II_FIXED,ND-0001,FIXED_STATION,FIXED,114.314586,37.243049,217.0,山前过渡区,HF;VUHF,true,NORMAL,true,
ND-0005,Ⅱ双频固定站03,II,II_FIXED,ND-0001,FIXED_STATION,FIXED,114.678283,37.72544,45.0,中部平原区,HF;VUHF,true,NORMAL,true,
ND-0006,Ⅱ双频固定站04,II,II_FIXED,ND-0001,FIXED_STATION,FIXED,115.035014,37.026742,36.0,东部平原区,HF;VUHF,true,NORMAL,true,
ND-0007,Ⅱ双频机动站01,II,II_MOBILE,ND-0003,TASK,VEHICLE,114.0765,37.499715,912.0,太行山区,HF;VUHF,true,NORMAL,true,
ND-0008,Ⅱ双频机动站02,II,II_MOBILE,ND-0003,TASK,VEHICLE,114.174873,37.539479,1029.0,太行山区,HF;VUHF,true,NORMAL,true,
ND-0009,Ⅱ双频机动节点站01,II,II_NODE,ND-0003,TASK,VEHICLE,114.0765,37.568014,1214.0,太行山区,HF;VUHF,true,NORMAL,true,
ND-0010,Ⅱ双频机动节点站02,II,II_NODE,ND-0003,TASK,VEHICLE,114.0765,37.49976,912.0,太行山区,HF;VUHF,true,NORMAL,true,
ND-0011,Ⅱ双频机动站03,II,II_MOBILE,ND-0004,TASK,VEHICLE,114.192033,37.295204,1032.0,山前过渡区,HF;VUHF,true,NORMAL,true,
ND-0012,Ⅱ双频机动站04,II,II_MOBILE,ND-0004,TASK,VEHICLE,114.0765,37.38473,882.0,太行山区,HF;VUHF,true,NORMAL,true,
ND-0013,Ⅱ双频机动节点站03,II,II_NODE,ND-0004,TASK,VEHICLE,114.220078,37.291645,555.0,山前过渡区,HF;VUHF,true,NORMAL,true,
ND-0014,Ⅱ双频机动节点站04,II,II_NODE,ND-0004,TASK,VEHICLE,114.191421,37.295955,1046.0,山前过渡区,HF;VUHF,true,NORMAL,true,
ND-0015,Ⅱ双频机动站05,II,II_MOBILE,ND-0005,TASK,VEHICLE,114.597965,37.7309,52.0,中部平原区,HF;VUHF,true,NORMAL,true,
ND-0016,Ⅱ双频机动站06,II,II_MOBILE,ND-0005,TASK,VEHICLE,114.45624,37.549589,153.0,太行山区,HF;VUHF,true,NORMAL,true,
ND-0017,Ⅱ双频机动节点站05,II,II_NODE,ND-0005,TASK,VEHICLE,114.130368,37.889124,392.0,太行山区,HF;VUHF,true,NORMAL,true,
ND-0018,Ⅱ双频机动节点站06,II,II_NODE,ND-0005,TASK,VEHICLE,114.480188,37.451494,91.0,山前过渡区,HF;VUHF,true,NORMAL,true,
ND-0019,Ⅱ双频机动站07,II,II_MOBILE,ND-0006,TASK,VEHICLE,115.067547,36.941,36.0,东部平原区,HF;VUHF,true,NORMAL,true,
ND-0020,Ⅱ双频机动站08,II,II_MOBILE,ND-0006,TASK,VEHICLE,115.059101,36.941251,35.0,东部平原区,HF;VUHF,true,NORMAL,true,
ND-0021,Ⅱ双频机动节点站07,II,II_NODE,ND-0006,TASK,VEHICLE,115.063038,36.941,37.0,东部平原区,HF;VUHF,true,NORMAL,true,
ND-0022,Ⅱ双频机动节点站08,II,II_NODE,ND-0006,TASK,VEHICLE,115.239699,37.050468,36.0,东部平原区,HF;VUHF,true,NORMAL,true,
ND-0023,Ⅲ双频机动站01,III,III_MOBILE,ND-0009;ND-0010,TASK,VEHICLE,114.0765,37.613274,1153.0,太行山区,HF;VUHF,true,NORMAL,false,
ND-0024,Ⅲ双频机动站02,III,III_MOBILE,ND-0013;ND-0014,TASK,VEHICLE,114.0765,37.600692,748.0,太行山区,HF;VUHF,true,NORMAL,false,
ND-0025,Ⅲ双频机动站03,III,III_MOBILE,ND-0017;ND-0018,TASK,VEHICLE,114.0765,37.688099,789.0,太行山区,HF;VUHF,true,NORMAL,false,
ND-0026,Ⅲ双频机动站04,III,III_MOBILE,ND-0021;ND-0022,TASK,VEHICLE,115.213053,36.941,34.0,东部平原区,HF;VUHF,true,NORMAL,false,
ND-0027,Ⅲ双频机动站05,III,III_MOBILE,ND-0009;ND-0010,TASK,VEHICLE,114.093883,37.574212,1028.0,太行山区,HF;VUHF,true,NORMAL,false,
ND-0028,Ⅲ双频机动站06,III,III_MOBILE,ND-0013;ND-0014,TASK,VEHICLE,114.0765,37.335704,562.0,太行山区,HF;VUHF,true,NORMAL,false,
