demand_id,task_id,src_node_id,dst_node_id,priority,is_mandatory,data_volume_mb,required_rate_kbps,max_delay_ms,min_reliability,service_type,preferred_class
CD-0001,TS-0001,ND-0051,ND-0031,P3,false,131.5,4.8,250,0.95,话音,VUHF
CD-0002,TS-0001,ND-0088,ND-0079,P2,false,193.0,4.8,150,0.995,话音,VUHF
CD-0003,TS-0001,ND-0025,ND-0087,P2,false,44.8,32,400,0.995,数据,VUHF
CD-0004,TS-0001,ND-0080,ND-0042,P2,false,202.5,4.8,800,0.995,话音,VUHF
CD-0005,TS-0001,ND-0007,ND-0085,P3,false,205.8,4.8,800,0.995,话音,VUHF
CD-0006,TS-0001,ND-0113,ND-0031,P3,false,195.0,4.8,250,0.95,话音,HF
CD-0007,TS-0001,ND-0032,ND-0113,P3,false,111.0,4.8,150,0.99,话音,HF
CD-0008,TS-0001,ND-0092,ND-0019,P2,false,78.5,4.8,400,0.95,话音,VUHF
CD-0009,TS-0001,ND-0048,ND-0096,P3,false,222.7,1.2,800,0.995,短消息,VUHF
CD-0010,TS-0001,ND-0079,ND-0090,P3,false,66.5,4.8,400,0.99,话音,VUHF
CD-0011,TS-0001,ND-0025,ND-0083,P2,true,93.2,4.8,250,0.9,话音,VUHF
CD-0012,TS-0001,ND-0117,ND-0035,P3,false,65.7,1.2,150,0.95,短消息,HF
CD-0013,TS-0001,ND-0045,ND-0102,P3,false,209.9,4.8,250,0.99,话音,VUHF
CD-0014,TS-0001,ND-0027,ND-0076,P3,false,223.3,32,250,0.9,数据,VUHF
CD-0015,TS-0001,ND-0094,ND-0052,P3,false,46.8,4.8,150,0.995,话音,VUHF
CD-0016,TS-0001,ND-0053,ND-0082,P2,true,179.6,4.8,250,0.95,话音,VUHF
CD-0017,TS-0001,ND-0031,ND-0008,P3,false,32.0,4.8,800,0.95,话音,VUHF
CD-0018,TS-0001,ND-0079,ND-0082,P3,false,20.4,1.2,250,0.95,短消息,VUHF
CD-0019,TS-0001,ND-0059,ND-0012,P3,false,135.4,4.8,400,0.9,话音,VUHF
CD-0020,TS-0001,ND-0100,ND-0037,P3,false,31.4,1.2,400,0.95,短消息,VUHF
CD-0021,TS-0001,ND-0044,ND-0098,P3,false,178.0,4.8,250,0.99,话音,VUHF
CD-0022,TS-0001,ND-0044,ND-0037,P3,false,32.6,4.8,150,0.995,话音,VUHF
CD-0023,TS-0001,ND-0075,ND-0061,P2,false,175.9,4.8,400,0.99,话音,VUHF
CD-0024,TS-0001,ND-0084,ND-0065,P3,false,159.3,32,150,0.95,数据,VUHF
CD-0025,TS-0001,ND-0010,ND-0049,P2,false,112.3,1.2,800,0.995,短消息,VUHF
CD-0026,TS-0001,ND-0009,ND-0051,P3,false,71.3,4.8,250,0.995,话音,VUHF
CD-0027,TS-0001,ND-0066,ND-0033,P3,false,127.5,1.2,400,0.995,短消息,VUHF
CD-0028,TS-0001,ND-0085,ND-0069,P2,false,90.6,4.8,150,0.99,话音,VUHF
