link_id,node_a_id,node_b_id,device_a_id,device_b_id,device_class,freq_khz,bandwidth_khz,distance_m,path_loss_db,rx_power_dbm,link_margin_db,is_available,link_state,is_backup
LK-0001,ND-0077,ND-0133,DV-0077,DV-0133,VUHF,31325,25.0,227.0,50.04,-9.04,97.98,true,EXCELLENT,false
LK-0002,ND-0142,ND-0154,DV-0142,DV-0154,VUHF,31325,25.0,442.4,55.84,-21.84,85.18,true,EXCELLENT,false
LK-0003,ND-0082,ND-0114,DV-0082,DV-0114,VUHF,31325,25.0,663.0,59.35,-24.35,82.67,true,EXCELLENT,false
LK-0004,ND-0078,ND-0102,DV-0078,DV-0102,VUHF,30125,25.0,915.8,68.26,-21.26,85.76,true,EXCELLENT,false
LK-0005,ND-0014,ND-0020,DV-0014,DV-0020,VUHF,31325,25.0,1110.8,68.33,-13.33,93.69,true,EXCELLENT,false
LK-0006,ND-0126,ND-0150,DV-0126,DV-0150,VUHF,31325,25.0,1114.0,70.33,-35.33,71.69,true,EXCELLENT,false
LK-0007,ND-0101,ND-0121,DV-0101,DV-0121,VUHF,31325,25.0,1178.5,70.82,-35.82,71.2,true,EXCELLENT,false
LK-0008,ND-0082,ND-0134,DV-0082,DV-0134,VUHF,31325,25.0,1187.3,64.41,-19.41,87.61,true,EXCELLENT,false
LK-0009,ND-0096,ND-0112,DV-0096,DV-0112,VUHF,31325,25.0,1190.5,73.46,-38.46,68.56,true,EXCELLENT,false
LK-0010,ND-0012,ND-0139,DV-0012,DV-0139,VUHF,31325,25.0,1210.7,69.08,-28.08,78.94,true,EXCELLENT,false
LK-0011,ND-0107,ND-0139,DV-0107,DV-0139,VUHF,31325,25.0,1226.7,64.98,-29.98,77.04,true,EXCELLENT,false
LK-0012,ND-0012,ND-0091,DV-0012,DV-0091,VUHF,31325,25.0,1341.2,73.91,-39.91,67.11,true,EXCELLENT,false
LK-0013,ND-0015,ND-0071,DV-0015,DV-0071,VUHF,31325,25.0,1529.1,79.08,-30.08,76.94,true,EXCELLENT,false
LK-0014,ND-0080,ND-0084,DV-0080,DV-0084,VUHF,30125,25.0,1644.6,73.22,-25.22,81.8,true,EXCELLENT,false
LK-0015,ND-0116,ND-0132,DV-0116,DV-0132,VUHF,31325,25.0,1978.0,68.84,-31.84,75.18,true,EXCELLENT,false
LK-0016,ND-0144,ND-0148,DV-0144,DV-0148,VUHF,30125,25.0,2015.6,68.39,-30.39,76.63,true,EXCELLENT,false
LK-0017,ND-0067,ND-0099,DV-0067,DV-0099,VUHF,30125,25.0,2143.1,98.01,-55.01,52.01,true,EXCELLENT,false
LK-0018,ND-0069,ND-0133,DV-0069,DV-0133,VUHF,31325,25.0,2183.9,69.71,-28.71,78.32,true,EXCELLENT,false
LK-0019,ND-0031,ND-0047,DV-0031,DV-0047,HF,3195,3.0,2215.5,61.63,-24.63,64.6,true,EXCELLENT,false
LK-0020,ND-0039,ND-0059,DV-0039,DV-0059,HF,3195,3.0,2354.6,62.44,-15.44,73.79,true,EXCELLENT,false
LK-0021,ND-0076,ND-0100,DV-0076,DV-0100,VUHF,31325,25.0,2389.8,80.46,-42.46,64.56,true,EXCELLENT,false
LK-0022,ND-0072,ND-0152,DV-0072,DV-0152,VUHF,31325,25.0,2395.6,83.4,-48.4,58.62,true,EXCELLENT,false
LK-0023,ND-0068,ND-0076,DV-0068,DV-0076,VUHF,31325,25.0,2467.5,78.33,-39.33,67.69,true,EXCELLENT,false
LK-0024,ND-0106,ND-0134,DV-0106,DV-0134,VUHF,31325,25.0,2528.3,70.98,-25.98,81.04,true,EXCELLENT,false
LK-0025,ND-0068,ND-0140,DV-0068,DV-0140,VUHF,31325,25.0,2619.4,79.05,-44.05,62.97,true,EXCELLENT,false
LK-0026,ND-0030,ND-0058,DV-0030,DV-0058,HF,3195,3.0,2670.7,65.86,-28.86,60.37,true,EXCELLENT,false
LK-0027,ND-0095,ND-0139,DV-0095,DV-0139,VUHF,31325,25.0,2675.1,75.97,-36.97,70.05,true,EXCELLENT,false
LK-0028,ND-0120,ND-0124,DV-0120,DV-0124,VUHF,30125,25.0,2754.9,77.82,-28.82,78.2,true,EXCELLENT,false
LK-0029,ND-0024,ND-0056,DV-0024,DV-0056,HF,3195,3.0,2770.7,62.63,-15.63,73.6,true,EXCELLENT,false
LK-0030,ND-0087,ND-0119,DV-0087,DV-0119,VUHF,31325,25.0,2784.3,76.32,-31.32,75.7,true,EXCELLENT,false
LK-0031,ND-0132,ND-0156,DV-0132,DV-0156,VUHF,31325,25.0,2824.3,71.94,-34.94,72.08,true,EXCELLENT,false
LK-0032,ND-0126,ND-0134,DV-0126,DV-0134,VUHF,31325,25.0,2836.3,71.98,-32.98,74.05,true,EXCELLENT,false
LK-0033,ND-0109,ND-0121,DV-0109,DV-0121,VUHF,31325,25.0,2844.2,72.0,-38.0,69.02,true,EXCELLENT,false
LK-0034,ND-0032,ND-0036,DV-0032,DV-0036,HF,3195,3.0,2876.3,63.11,-26.11,63.12,true,EXCELLENT,false
LK-0035,ND-0028,ND-0040,DV-0028,DV-0040,HF,3195,3.0,2892.7,63.18,-26.18,63.04,true,EXCELLENT,false
LK-0036,ND-0077,ND-0093,DV-0077,DV-0093,VUHF,31325,25.0,2948.1,78.78,-37.78,69.24,true,EXCELLENT,false
LK-0037,ND-0111,ND-0115,DV-0111,DV-0115,VUHF,31325,25.0,3016.1,85.84,-50.84,56.18,true,EXCELLENT,false
LK-0038,ND-0096,ND-0108,DV-0096,DV-0108,VUHF,31325,25.0,3120.3,80.15,-41.15,65.87,true,EXCELLENT,false
LK-0039,ND-0077,ND-0109,DV-0077,DV-0109,VUHF,31325,25.0,3202.8,73.03,-32.03,74.99,true,EXCELLENT,false
LK-0040,ND-0070,ND-0094,DV-0070,DV-0094,VUHF,30125,25.0,3212.9,79.16,-34.16,72.86,true,EXCELLENT,false
LK-0041,ND-0035,ND-0063,DV-0035,DV-0063,HF,3195,3.0,3236.0,64.64,-23.64,65.59,true,EXCELLENT,false
LK-0042,ND-0010,ND-0022,DV-0010,DV-0022,VUHF,31325,25.0,3291.0,88.09,-41.09,65.93,true,EXCELLENT,false
LK-0043,ND-0099,ND-0155,DV-0099,DV-0155,VUHF,31325,25.0,3376.8,88.14,-54.14,52.88,true,EXCELLENT,false
LK-0044,ND-0076,ND-0128,DV-0076,DV-0128,VUHF,31325,25.0,3512.6,82.16,-40.16,66.86,true,EXCELLENT,false
LK-0045,ND-0009,ND-0012,DV-0009,DV-0012,VUHF,31325,25.0,3543.2,78.41,-27.41,79.61,true,EXCELLENT,false
LK-0046,ND-0090,ND-0118,DV-0090,DV-0118,VUHF,30125,25.0,3611.1,74.01,-29.01,78.01,true,EXCELLENT,false
LK-0047,ND-0015,ND-0123,DV-0015,DV-0123,VUHF,31325,25.0,3707.3,87.41,-45.41,61.61,true,EXCELLENT,false
LK-0048,ND-0069,ND-0137,DV-0069,DV-0137,VUHF,31325,25.0,3719.7,74.33,-35.33,71.69,true,EXCELLENT,false
LK-0049,ND-0128,ND-0136,DV-0128,DV-0136,VUHF,31325,25.0,3748.6,82.22,-44.22,62.8,true,EXCELLENT,false
LK-0050,ND-0115,ND-0135,DV-0115,DV-0135,VUHF,31325,25.0,3756.6,84.71,-49.71,57.31,true,EXCELLENT,false
LK-0051,ND-0096,ND-0100,DV-0096,DV-0100,VUHF,31325,25.0,3808.9,74.82,-39.82,67.2,true,EXCELLENT,false
LK-0052,ND-0109,ND-0125,DV-0109,DV-0125,VUHF,31325,25.0,3815.0,74.55,-33.55,73.47,true,EXCELLENT,false
LK-0053,ND-0024,ND-0032,DV-0024,DV-0032,HF,3195,3.0,3918.3,67.16,-16.16,73.07,true,EXCELLENT,false
LK-0054,ND-0097,ND-0153,DV-0097,DV-0153,VUHF,31325,25.0,3936.6,88.15,-51.15,55.87,true,EXCELLENT,false
LK-0055,ND-0109,ND-0145,DV-0109,DV-0145,VUHF,31325,25.0,3998.5,74.96,-43.96,63.06,true,EXCELLENT,false
LK-0056,ND-0128,ND-0152,DV-0128,DV-0152,VUHF,31325,25.0,4019.2,81.84,-42.84,64.19,true,EXCELLENT,false
LK-0057,ND-0024,ND-0060,DV-0024,DV-0060,HF,3195,3.0,4092.4,59.96,-22.96,66.27,true,EXCELLENT,false
LK-0058,ND-0029,ND-0033,DV-0029,DV-0033,HF,3195,3.0,4150.1,67.93,-30.93,58.3,true,EXCELLENT,false
LK-0059,ND-0075,ND-0143,DV-0075,DV-0143,VUHF,31325,25.0,4178.5,98.64,-59.64,47.38,true,EXCELLENT,false
LK-0060,ND-0120,ND-0132,DV-0120,DV-0132,VUHF,30125,25.0,4221.6,81.53,-33.53,73.49,true,EXCELLENT,false
LK-0061,ND-0051,ND-0059,DV-0051,DV-0059,HF,3195,3.0,4327.9,68.5,-21.5,67.73,true,EXCELLENT,false
LK-0062,ND-0073,ND-0105,DV-0073,DV-0105,VUHF,30125,25.0,4336.4,81.76,-40.76,66.26,true,EXCELLENT,false
LK-0063,ND-0094,ND-0102,DV-0094,DV-0102,VUHF,31325,25.0,4399.0,75.79,-26.79,80.23,true,EXCELLENT,false
LK-0064,ND-0121,ND-0129,DV-0121,DV-0129,VUHF,30125,25.0,4461.1,75.57,-41.57,65.45,true,EXCELLENT,false
LK-0065,ND-0097,ND-0141,DV-0097,DV-0141,VUHF,31325,25.0,4520.5,82.31,-41.31,65.71,true,EXCELLENT,false
